lead_id,origen,score,motivos,horas,contactos,precio_lista,pidio_cita,manifesto_cuota,pago_credito
LD-00001,,16,contacto_rapido,0.0,3.0,15490000.0,0,0,0
LD-00002,ia,10,credito,14.433333333333334,3.0,5590000.0,0,0,1
LD-00003,,7,canal_whatsapp,86.78333333333333,3.0,6590000.0,0,0,0
LD-00004,,14,seguimiento,24.0,3.0,7990000.0,0,0,0
LD-00005,,13,seguimiento,30.0,3.0,7290000.0,0,0,0
LD-00006,,13,canal_whatsapp,30.0,3.0,11490000.0,0,0,0
LD-00007,,18,contacto_rapido+canal_whatsapp,2.0,3.0,9890000.0,0,0,0
LD-00008,,16,contacto_rapido,6.0,3.0,10000000.0,0,0,0
LD-00009,ia,15,contacto_rapido+canal_whatsapp,6.0,1.0,14990000.0,0,0,0
LD-00010,ia,8,cuota_inicial+credito+contacto_rapido+canal_whatsapp,1.0,3.0,6990000.0,0,1,1
LD-00011,,14,seguimiento,24.0,3.0,6590000.0,0,0,0
LD-00012,,14,canal_whatsapp,24.0,3.0,7190000.0,0,0,0
LD-00013,ia,7,credito,13.766666666666667,3.0,6990000.0,0,0,1
LD-00014,,17,contacto_rapido+canal_whatsapp,1.0,3.0,11490000.0,0,0,0
LD-00015,,14,seguimiento,24.0,3.0,7290000.0,0,0,0
LD-00016,,14,canal_whatsapp,30.0,3.0,4990000.0,0,0,0
LD-00017,,15,canal_whatsapp,24.0,3.0,6290000.0,0,0,0
LD-00018,ia,18,cuota_inicial,24.0,4.0,10490000.0,0,1,0
LD-00019,,14,seguimiento,24.0,3.0,5290000.0,0,0,0
LD-00020,ia,16,contacto_rapido+canal_whatsapp,2.0,1.0,11490000.0,0,0,0
LD-00021,,14,canal_whatsapp,24.0,3.0,7490000.0,0,0,0
LD-00022,ia,5,cuota_inicial+credito+canal_whatsapp,48.0,3.0,5790000.0,0,1,1
LD-00023,,0,seguimiento,812.2333333333333,3.0,11990000.0,0,0,0
LD-00024,ia,19,cuota_inicial+contacto_rapido,0.4666666666666667,4.0,6290000.0,0,1,0
LD-00025,ia,6,cuota_inicial,96.0,4.0,11990000.0,0,1,0
LD-00026,ia,17,cuota_inicial+canal_whatsapp,12.0,4.0,7190000.0,0,1,0
LD-00027,ia,11,cuota_inicial,48.0,4.0,5590000.0,0,1,0
LD-00028,,14,canal_whatsapp,24.0,3.0,7490000.0,0,0,0
LD-00029,,16,contacto_rapido+canal_whatsapp,7.35,3.0,13990000.0,0,0,0
LD-00030,ia,14,cuota_inicial+canal_whatsapp,30.0,3.0,5590000.0,0,1,0
LD-00031,,15,canal_whatsapp,24.0,3.0,5790000.0,0,0,0
LD-00032,ia,8,credito+contacto_rapido+canal_whatsapp,0.0,3.0,14990000.0,0,0,1
LD-00033,,13,canal_whatsapp,30.0,3.0,11490000.0,0,0,0
LD-00034,ia,18,contacto_rapido+canal_whatsapp,6.133333333333334,3.0,6290000.0,0,0,0
LD-00035,ia,6,cuota_inicial+credito+canal_whatsapp,12.033333333333333,3.0,21900000.0,0,1,1
LD-00036,,8,seguimiento,72.0,3.0,11490000.0,0,0,0
LD-00037,ia,6,cuota_inicial+credito+contacto_rapido+canal_whatsapp,6.0,3.0,21900000.0,0,1,1
LD-00038,,19,seguimiento,24.0,3.0,6890000.0,0,0,0
LD-00039,,15,canal_whatsapp,24.0,3.0,5290000.0,0,0,0
LD-00040,ia,14,cuota_inicial,17.366666666666667,3.0,11990000.0,0,1,0
LD-00041,,17,seguimiento,24.0,3.0,11290000.0,0,0,0
LD-00042,,13,canal_whatsapp,24.0,3.0,13990000.0,0,0,0
LD-00043,,14,seguimiento,24.0,3.0,6890000.0,0,0,0
LD-00044,ia,21,seguimiento,12.0,4.0,8990000.0,0,0,0
LD-00045,ia,19,contacto_rapido+canal_whatsapp,0.0,3.0,5590000.0,0,0,0
LD-00046,ia,18,cuota_inicial+contacto_rapido+canal_whatsapp,0.0,3.0,9890000.0,0,1,0
LD-00047,,11,canal_whatsapp,48.0,3.0,5790000.0,0,0,0
LD-00048,,24,contacto_rapido,0.0,3.0,5790000.0,0,0,0
LD-00049,ia,11,canal_whatsapp,24.0,3.0,24900000.0,0,0,0
LD-00050,,13,canal_whatsapp,24.883333333333333,3.0,11490000.0,0,0,0
LD-00051,,22,contacto_rapido,0.0,3.0,11290000.0,0,0,0
LD-00052,ia,23,contacto_rapido,0.0,1.0,5790000.0,0,0,0
LD-00053,ia,8,cuota_inicial+credito,24.0,3.0,6990000.0,0,1,1
LD-00054,,19,contacto_rapido,0.0,3.0,5790000.0,0,0,0
LD-00055,ia,11,canal_whatsapp,43.11666666666667,1.0,6590000.0,0,0,0
LD-00056,,20,seguimiento,18.0,3.0,6590000.0,0,0,0
LD-00057,,15,canal_whatsapp,24.0,3.0,5790000.0,0,0,0
LD-00058,ia,19,cuota_inicial+contacto_rapido,0.0,3.0,21900000.0,0,1,0
LD-00059,ia,0,cuota_inicial+credito,738.0,3.0,15490000.0,0,1,1
LD-00060,,18,contacto_rapido+canal_whatsapp,6.0,3.0,5590000.0,0,0,0
LD-00061,,19,contacto_rapido+canal_whatsapp,0.0,3.0,5290000.0,0,0,0
LD-00062,,14,seguimiento,24.0,3.0,7290000.0,0,0,0
LD-00063,ia,5,cuota_inicial+credito,24.0,3.0,24900000.0,0,1,1
LD-00064,,18,contacto_rapido+canal_whatsapp,2.0,3.0,6990000.0,0,0,0
LD-00065,,13,seguimiento,24.0,3.0,10000000.0,0,0,0
LD-00066,,14,canal_whatsapp,24.0,3.0,10000000.0,0,0,0
LD-00067,,15,canal_whatsapp,24.0,3.0,6290000.0,0,0,0
LD-00068,ia,7,cuota_inicial+credito+canal_whatsapp,24.0,3.0,5790000.0,0,1,1
LD-00069,,9,canal_whatsapp,72.0,3.0,5590000.0,0,0,0
LD-00070,,15,seguimiento,24.0,3.0,4990000.0,0,0,0
LD-00071,ia,22,contacto_rapido,6.0,3.0,7190000.0,0,0,0
LD-00072,ia,16,contacto_rapido,4.0,3.0,13990000.0,0,0,0
LD-00073,,0,canal_whatsapp,2864.266666666667,3.0,24900000.0,0,0,0
LD-00074,,6,seguimiento,89.93333333333334,3.0,13990000.0,0,0,0
LD-00075,ia,6,cuota_inicial+credito,34.61666666666667,3.0,5590000.0,0,1,1
LD-00076,,16,contacto_rapido,1.0,3.0,15490000.0,0,0,0
LD-00077,,18,contacto_rapido+canal_whatsapp,0.0,3.0,10000000.0,0,0,0
LD-00078,,11,seguimiento,23.716666666666665,3.0,24900000.0,0,0,0
LD-00079,ia,20,seguimiento,17.816666666666666,4.0,7190000.0,0,0,0
LD-00080,,6,seguimiento,96.0,3.0,9890000.0,0,0,0
LD-00081,ia,15,canal_whatsapp,18.383333333333333,3.0,7190000.0,0,0,0
LD-00082,ia,0,canal_whatsapp,732.0,3.0,21900000.0,0,0,0
LD-00083,ia,7,cuota_inicial+credito+canal_whatsapp,24.0,3.0,5790000.0,0,1,1
LD-00084,ia,12,seguimiento,24.0,3.0,15490000.0,0,0,0
LD-00085,,15,canal_whatsapp,24.0,3.0,5590000.0,0,0,0
LD-00086,,8,canal_whatsapp,69.6,3.0,11290000.0,0,0,0
LD-00087,ia,17,cuota_inicial+contacto_rapido,6.35,3.0,5790000.0,0,1,0
LD-00088,,15,canal_whatsapp,24.0,3.0,6890000.0,0,0,0
LD-00089,ia,3,cuota_inicial+credito,96.0,3.0,10490000.0,0,1,1
LD-00090,,0,canal_whatsapp,1512.0,3.0,11290000.0,0,0,0
LD-00091,ia,17,cuota_inicial,12.0,4.0,5290000.0,0,1,0
LD-00092,ia,7,credito+canal_whatsapp,24.0,3.0,4990000.0,0,0,1
LD-00093,ia,18,contacto_rapido+canal_whatsapp,0.0,1.0,6990000.0,0,0,0
LD-00094,,14,canal_whatsapp,29.0,3.0,4990000.0,0,0,0
LD-00095,ia,7,cuota_inicial,86.66666666666667,4.0,6890000.0,0,1,0
LD-00096,ia,19,seguimiento,24.0,3.0,4990000.0,0,0,0
LD-00097,ia,18,contacto_rapido+canal_whatsapp,4.0,3.0,7190000.0,0,0,0
LD-00098,,0,canal_whatsapp,2125.5833333333335,3.0,6890000.0,0,0,0
LD-00099,,18,contacto_rapido,4.0,3.0,5790000.0,0,0,0
LD-00100,ia,14,contacto_rapido,4.0,4.0,22900000.0,0,0,0
LD-00101,,15,canal_whatsapp,24.0,3.0,5290000.0,0,0,0
LD-00102,,11,canal_whatsapp,43.0,3.0,11990000.0,0,0,0
LD-00103,,16,contacto_rapido+canal_whatsapp,2.0,3.0,15490000.0,0,0,0
LD-00104,ia,14,canal_whatsapp,24.0,3.0,8990000.0,0,0,0
LD-00105,,18,contacto_rapido+canal_whatsapp,6.0,3.0,7190000.0,0,0,0
LD-00106,,21,seguimiento,12.0,3.0,6990000.0,0,0,0
LD-00107,,11,canal_whatsapp,48.0,3.0,7990000.0,0,0,0
LD-00108,,14,canal_whatsapp,24.0,3.0,10000000.0,0,0,0
LD-00109,,14,contacto_rapido+canal_whatsapp,6.0,3.0,21900000.0,0,0,0
LD-00110,ia,8,canal_whatsapp,75.86666666666666,4.0,7190000.0,0,0,0
LD-00111,ia,14,canal_whatsapp,30.0,3.0,5290000.0,0,0,0
LD-00112,,13,seguimiento,24.0,3.0,13990000.0,0,0,0
LD-00113,,15,canal_whatsapp,24.0,3.0,5790000.0,0,0,0
LD-00114,ia,15,canal_whatsapp,12.45,4.0,15490000.0,0,0,0
